Book_ID,Book_Title,Author,Price,Year,Genre
20,10-Day Green Smoothie Cleanse,JJ Smith,$8.00,2016,Non Fiction
21,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,$8.00,2016,Non Fiction
22,1984 (Signet Classics),George Orwell,$8.00,2016,Non Fiction
23,"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,$12.00,2019,Non Fiction
24,A Gentleman in Moscow: A Novel,Amor Towles,$8.00,2016,Non Fiction
25,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,$8.00,2016,Non Fiction
26,Alexander Hamilton,Ron Chernow,$12.00,2019,Non Fiction
27,Astrophysics for People in a Hurry,Neil deGrasse Tyson,$8.00,2016,Non Fiction
28,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,$12.00,2019,Non Fiction
29,Becoming,Michelle Obama,$12.00,2019,Non Fiction
